"week_day","daily_steps","daily_sleep"
"Monday",9339.85106382979,418.829787234043
"Tuesday",9182.69230769231,404.538461538462
"Wednesday",8022.86363636364,434.681818181818
"Thursday",8205.35384615385,402.369230769231
"Friday",7901.40350877193,405.421052631579
"Saturday",9948.68965517241,420.810344827586
"Sunday",7297.85454545455,452.745454545455
